=== METRICS: train/normal ===

Normal (1506).png: DSC=0.8008, IoU=0.6677, Sens=0.9652, Spec=0.9052, MCC=0.7671, Kappa=0.7493, HD95=23.35, NSD=0.4105
Normal (1507).png: DSC=0.8525, IoU=0.7428, Sens=0.9054, Spec=0.9064, MCC=0.7868, Kappa=0.7839, HD95=16.28, NSD=0.2756
Normal (1508).png: DSC=0.9381, IoU=0.8834, Sens=0.9200, Spec=0.9844, MCC=0.9157, Kappa=0.9153, HD95=6.00, NSD=0.5652
Normal (1509).png: DSC=0.9061, IoU=0.8283, Sens=0.8655, Spec=0.9763, MCC=0.8620, Kappa=0.8599, HD95=13.43, NSD=0.4817
Normal (1510).png: DSC=0.9180, IoU=0.8485, Sens=0.9474, Spec=0.9664, MCC=0.8942, Kappa=0.8934, HD95=9.00, NSD=0.5281
Normal (1511).png: DSC=0.8895, IoU=0.8010, Sens=0.8082, Spec=0.9937, MCC=0.8350, Kappa=0.8242, HD95=15.81, NSD=0.4215
Normal (1512).png: DSC=0.9042, IoU=0.8252, Sens=0.8871, Spec=0.9743, MCC=0.8726, Kappa=0.8723, HD95=11.00, NSD=0.3937
Normal (1513).png: DSC=0.8023, IoU=0.6699, Sens=0.6709, Spec=0.9990, MCC=0.7430, Kappa=0.7122, HD95=20.18, NSD=0.1428
Normal (1514).png: DSC=0.8867, IoU=0.7965, Sens=0.8396, Spec=0.9691, MCC=0.8307, Kappa=0.8277, HD95=13.42, NSD=0.3067
Normal (1515).png: DSC=0.9216, IoU=0.8547, Sens=0.8818, Spec=0.9913, MCC=0.9028, Kappa=0.9013, HD95=6.74, NSD=0.4990
Normal (1516).png: DSC=0.7245, IoU=0.5680, Sens=0.8956, Spec=0.8745, MCC=0.6700, Kappa=0.6500, HD95=37.48, NSD=0.2207
Normal (1517).png: DSC=0.9328, IoU=0.8741, Sens=0.9091, Spec=0.9810, MCC=0.9028, Kappa=0.9022, HD95=8.51, NSD=0.5443
Normal (1518).png: DSC=0.9253, IoU=0.8611, Sens=0.8817, Spec=0.9927, MCC=0.9060, Kappa=0.9041, HD95=6.40, NSD=0.5543
Normal (1519).png: DSC=0.9420, IoU=0.8903, Sens=0.9034, Spec=0.9937, MCC=0.9201, Kappa=0.9184, HD95=7.00, NSD=0.6109
Normal (1520).png: DSC=0.8994, IoU=0.8172, Sens=0.9075, Spec=0.9447, MCC=0.8485, Kappa=0.8484, HD95=16.28, NSD=0.4135
Normal (1521).png: DSC=0.9205, IoU=0.8527, Sens=0.9190, Spec=0.9681, MCC=0.8879, Kappa=0.8879, HD95=9.78, NSD=0.4082
Normal (1522).png: DSC=0.8658, IoU=0.7633, Sens=0.9696, Spec=0.9289, MCC=0.8336, Kappa=0.8255, HD95=24.70, NSD=0.5151
Normal (1523).png: DSC=0.9043, IoU=0.8253, Sens=0.8525, Spec=0.9908, MCC=0.8821, Kappa=0.8795, HD95=12.21, NSD=0.5013
Normal (1524).png: DSC=0.8546, IoU=0.7461, Sens=0.8840, Spec=0.9673, MCC=0.8285, Kappa=0.8278, HD95=15.94, NSD=0.3264
Normal (1525).png: DSC=0.9286, IoU=0.8668, Sens=0.9197, Spec=0.9671, MCC=0.8909, Kappa=0.8908, HD95=8.41, NSD=0.4846
Normal (1526).png: DSC=0.8560, IoU=0.7482, Sens=0.7541, Spec=0.9972, MCC=0.8259, Kappa=0.8131, HD95=17.03, NSD=0.3957
Normal (1527).png: DSC=0.9043, IoU=0.8254, Sens=0.8413, Spec=0.9905, MCC=0.8673, Kappa=0.8622, HD95=11.00, NSD=0.3582
Normal (1528).png: DSC=0.8961, IoU=0.8118, Sens=0.9674, Spec=0.9600, MCC=0.8760, Kappa=0.8725, HD95=9.22, NSD=0.4962
Normal (1529).png: DSC=0.9336, IoU=0.8755, Sens=0.9381, Spec=0.9680, MCC=0.9037, Kappa=0.9037, HD95=12.15, NSD=0.5885
Normal (1530).png: DSC=0.9348, IoU=0.8775, Sens=0.9506, Spec=0.9695, MCC=0.9106, Kappa=0.9104, HD95=7.00, NSD=0.5281
Normal (1531).png: DSC=0.9348, IoU=0.8776, Sens=0.9389, Spec=0.9654, MCC=0.9023, Kappa=0.9023, HD95=9.00, NSD=0.5448
Normal (1532).png: DSC=0.8665, IoU=0.7644, Sens=0.9057, Spec=0.9530, MCC=0.8320, Kappa=0.8307, HD95=27.99, NSD=0.4562
Normal (1533).png: DSC=0.9429, IoU=0.8920, Sens=0.9490, Spec=0.9828, MCC=0.9275, Kappa=0.9274, HD95=7.00, NSD=0.7313
Normal (1534).png: DSC=0.8976, IoU=0.8143, Sens=0.8559, Spec=0.9842, MCC=0.8696, Kappa=0.8679, HD95=8.54, NSD=0.4172
Normal (1535).png: DSC=0.4156, IoU=0.2623, Sens=0.8145, Spec=0.5838, MCC=0.2959, Kappa=0.2250, HD95=54.45, NSD=0.0251
Normal (1536).png: DSC=0.9095, IoU=0.8340, Sens=0.9176, Spec=0.9719, MCC=0.8838, Kappa=0.8838, HD95=12.08, NSD=0.4890
Normal (1537).png: DSC=0.9225, IoU=0.8561, Sens=0.9289, Spec=0.9778, MCC=0.9021, Kappa=0.9020, HD95=7.81, NSD=0.4987
Normal (1538).png: DSC=0.9309, IoU=0.8707, Sens=0.9259, Spec=0.9770, MCC=0.9060, Kappa=0.9060, HD95=9.89, NSD=0.6009
Normal (1539).png: DSC=0.8429, IoU=0.7284, Sens=0.7400, Spec=0.9930, MCC=0.8014, Kappa=0.7871, HD95=18.03, NSD=0.2782
Normal (1540).png: DSC=0.9277, IoU=0.8651, Sens=0.9090, Spec=0.9832, MCC=0.9047, Kappa=0.9044, HD95=8.53, NSD=0.5522
