=== METRICS: train/normal ===

Normal (1519).png: DSC=0.8726, IoU=0.7740, Sens=0.7841, Spec=0.9943, MCC=0.8359, Kappa=0.8260, HD95=45.10, NSD=0.2631
Normal (1520).png: DSC=0.8827, IoU=0.7900, Sens=0.8636, Spec=0.9534, MCC=0.8264, Kappa=0.8260, HD95=47.42, NSD=0.1385
Normal (1521).png: DSC=0.8896, IoU=0.8012, Sens=0.8757, Spec=0.9618, MCC=0.8455, Kappa=0.8453, HD95=35.85, NSD=0.1790
Normal (1522).png: DSC=0.9094, IoU=0.8339, Sens=0.8626, Spec=0.9910, MCC=0.8893, Kappa=0.8872, HD95=20.23, NSD=0.2692
Normal (1523).png: DSC=0.6043, IoU=0.4330, Sens=0.4441, Spec=0.9928, MCC=0.5949, Kappa=0.5400, HD95=107.07, NSD=0.1830
Normal (1524).png: DSC=0.7415, IoU=0.5892, Sens=0.5951, Spec=0.9982, MCC=0.7373, Kappa=0.7084, HD95=43.17, NSD=0.1790
Normal (1525).png: DSC=0.0344, IoU=0.0175, Sens=0.0191, Spec=0.9499, MCC=-0.0759, Kappa=-0.0389, HD95=101.86, NSD=0.0446
Normal (1526).png: DSC=0.6336, IoU=0.4637, Sens=0.4664, Spec=0.9979, MCC=0.6193, Kappa=0.5585, HD95=80.42, NSD=0.0831
Normal (1527).png: DSC=0.8896, IoU=0.8012, Sens=0.8314, Spec=0.9814, MCC=0.8449, Kappa=0.8406, HD95=29.27, NSD=0.1539
Normal (1528).png: DSC=0.9122, IoU=0.8385, Sens=0.8753, Spec=0.9909, MCC=0.8959, Kappa=0.8948, HD95=17.09, NSD=0.2140
Normal (1529).png: DSC=0.8941, IoU=0.8085, Sens=0.8934, Spec=0.9530, MCC=0.8468, Kappa=0.8468, HD95=28.23, NSD=0.1688
Normal (1530).png: DSC=0.8899, IoU=0.8016, Sens=0.8254, Spec=0.9891, MCC=0.8584, Kappa=0.8537, HD95=25.00, NSD=0.2069
Normal (1531).png: DSC=0.8927, IoU=0.8061, Sens=0.8539, Spec=0.9707, MCC=0.8449, Kappa=0.8431, HD95=26.89, NSD=0.2155
Normal (1532).png: DSC=0.8246, IoU=0.7015, Sens=0.7070, Spec=0.9980, MCC=0.8052, Kappa=0.7889, HD95=40.03, NSD=0.1392
Normal (1533).png: DSC=0.8863, IoU=0.7958, Sens=0.8332, Spec=0.9873, MCC=0.8608, Kappa=0.8581, HD95=24.00, NSD=0.2355
Normal (1534).png: DSC=0.8598, IoU=0.7540, Sens=0.7949, Spec=0.9832, MCC=0.8254, Kappa=0.8209, HD95=28.64, NSD=0.2100
Normal (1535).png: DSC=0.8299, IoU=0.7093, Sens=0.8174, Spec=0.9699, MCC=0.7971, Kappa=0.7969, HD95=70.43, NSD=0.1686
Normal (1536).png: DSC=0.6066, IoU=0.4354, Sens=0.4703, Spec=0.9775, MCC=0.5686, Kappa=0.5341, HD95=95.25, NSD=0.0880
Normal (1537).png: DSC=0.9037, IoU=0.8244, Sens=0.8704, Spec=0.9854, MCC=0.8807, Kappa=0.8797, HD95=21.16, NSD=0.2440
Normal (1538).png: DSC=0.8935, IoU=0.8075, Sens=0.8824, Spec=0.9664, MCC=0.8557, Kappa=0.8556, HD95=45.69, NSD=0.2253
Normal (1539).png: DSC=0.7615, IoU=0.6148, Sens=0.6388, Spec=0.9829, MCC=0.7070, Kappa=0.6837, HD95=44.18, NSD=0.0814
Normal (1540).png: DSC=0.8675, IoU=0.7661, Sens=0.7989, Spec=0.9858, MCC=0.8338, Kappa=0.8286, HD95=30.00, NSD=0.2283
Normal (1541).png: DSC=0.8071, IoU=0.6765, Sens=0.6854, Spec=0.9945, MCC=0.7668, Kappa=0.7455, HD95=42.38, NSD=0.1717
Normal (1542).png: DSC=0.0163, IoU=0.0082, Sens=0.0087, Spec=0.9778, MCC=-0.0442, Kappa=-0.0192, HD95=307.99, NSD=0.0236
Normal (1543).png: DSC=0.6335, IoU=0.4635, Sens=0.4699, Spec=0.9932, MCC=0.5945, Kappa=0.5329, HD95=83.44, NSD=0.1542
Normal (1544).png: DSC=0.8843, IoU=0.7926, Sens=0.8058, Spec=0.9966, MCC=0.8691, Kappa=0.8633, HD95=21.21, NSD=0.2319
Normal (1545).png: DSC=0.8584, IoU=0.7519, Sens=0.7650, Spec=0.9926, MCC=0.8194, Kappa=0.8081, HD95=41.02, NSD=0.2134
Normal (1546).png: DSC=0.8569, IoU=0.7496, Sens=0.7727, Spec=0.9919, MCC=0.8316, Kappa=0.8242, HD95=28.64, NSD=0.2175
Normal (1547).png: DSC=0.5801, IoU=0.4085, Sens=0.4215, Spec=0.9813, MCC=0.5202, Kappa=0.4536, HD95=159.17, NSD=0.1881
Normal (1548).png: DSC=0.8690, IoU=0.7684, Sens=0.7976, Spec=0.9848, MCC=0.8290, Kappa=0.8229, HD95=38.00, NSD=0.1372
Normal (1549).png: DSC=0.8414, IoU=0.7262, Sens=0.7383, Spec=0.9914, MCC=0.7910, Kappa=0.7753, HD95=37.01, NSD=0.2485
Normal (1550).png: DSC=0.8508, IoU=0.7403, Sens=0.7462, Spec=0.9974, MCC=0.8244, Kappa=0.8113, HD95=34.73, NSD=0.1930
Normal (1551).png: DSC=0.8679, IoU=0.7666, Sens=0.7827, Spec=0.9913, MCC=0.8301, Kappa=0.8211, HD95=33.72, NSD=0.2224
Normal (1552).png: DSC=0.8980, IoU=0.8149, Sens=0.8726, Spec=0.9752, MCC=0.8643, Kappa=0.8637, HD95=23.41, NSD=0.2319
Normal (1553).png: DSC=0.8848, IoU=0.7933, Sens=0.8233, Spec=0.9918, MCC=0.8654, Kappa=0.8619, HD95=23.00, NSD=0.2372
Normal (1554).png: DSC=0.8730, IoU=0.7746, Sens=0.8237, Spec=0.9843, MCC=0.8461, Kappa=0.8438, HD95=26.99, NSD=0.1944
Normal (1555).png: DSC=0.9412, IoU=0.8889, Sens=0.9138, Spec=0.9869, MCC=0.9158, Kappa=0.9150, HD95=16.12, NSD=0.2809
