=== METRICS: train/covid-19 ===

covid_67.png: DSC=0.8369, IoU=0.7195, Sens=0.7381, Spec=0.9917, MCC=0.8049, Kappa=0.7932, HD95=13.00, NSD=0.2969
covid_69.png: DSC=0.6341, IoU=0.4643, Sens=0.5205, Spec=0.9621, MCC=0.5714, Kappa=0.5504, HD95=75.60, NSD=0.2069
covid_7.png: DSC=0.4168, IoU=0.2633, Sens=0.2774, Spec=0.9830, MCC=0.4110, Kappa=0.3375, HD95=64.14, NSD=0.0958
covid_71.png: DSC=0.9087, IoU=0.8327, Sens=0.9151, Spec=0.9660, MCC=0.8771, Kappa=0.8770, HD95=12.03, NSD=0.4088
covid_72.png: DSC=0.9089, IoU=0.8330, Sens=0.8751, Spec=0.9895, MCC=0.8918, Kappa=0.8908, HD95=7.21, NSD=0.4165
covid_76.png: DSC=0.7982, IoU=0.6642, Sens=0.6745, Spec=0.9960, MCC=0.7766, Kappa=0.7575, HD95=37.79, NSD=0.4171
covid_77.png: DSC=0.7869, IoU=0.6486, Sens=0.6528, Spec=0.9986, MCC=0.7747, Kappa=0.7523, HD95=43.82, NSD=0.3844
covid_78.png: DSC=0.5794, IoU=0.4078, Sens=0.4080, Spec=0.9999, MCC=0.5911, Kappa=0.5181, HD95=42.45, NSD=0.1056
covid_79.png: DSC=0.5884, IoU=0.4168, Sens=0.4365, Spec=0.9755, MCC=0.5259, Kappa=0.4701, HD95=43.36, NSD=0.1809
covid_80.png: DSC=0.1770, IoU=0.0971, Sens=0.0973, Spec=0.9991, MCC=0.2607, Kappa=0.1310, HD95=130.50, NSD=0.1508
covid_81.png: DSC=0.3764, IoU=0.2318, Sens=0.2829, Spec=0.9763, MCC=0.3559, Kappa=0.3329, HD95=94.51, NSD=0.1680
covid_83.png: DSC=0.8658, IoU=0.7633, Sens=0.7649, Spec=0.9995, MCC=0.8487, Kappa=0.8378, HD95=11.52, NSD=0.3498
covid_89.png: DSC=0.8634, IoU=0.7596, Sens=0.7726, Spec=0.9869, MCC=0.7928, Kappa=0.7783, HD95=16.00, NSD=0.3129
covid_9.png: DSC=0.3557, IoU=0.2163, Sens=0.2170, Spec=0.9985, MCC=0.3909, Kappa=0.2694, HD95=78.29, NSD=0.0252
covid_92.png: DSC=0.7883, IoU=0.6506, Sens=0.7048, Spec=0.9758, MCC=0.7440, Kappa=0.7358, HD95=22.19, NSD=0.2481
covid_95.png: DSC=0.5511, IoU=0.3804, Sens=0.3903, Spec=0.9923, MCC=0.5473, Kappa=0.4813, HD95=124.72, NSD=0.2284
covid_96.png: DSC=0.8980, IoU=0.8149, Sens=0.8720, Spec=0.9645, MCC=0.8495, Kappa=0.8486, HD95=12.04, NSD=0.3079
covid_97.png: DSC=0.4519, IoU=0.2919, Sens=0.2953, Spec=0.9962, MCC=0.4748, Kappa=0.3797, HD95=134.10, NSD=0.2443
covid_98.png: DSC=0.6397, IoU=0.4703, Sens=0.4771, Spec=0.9972, MCC=0.6455, Kappa=0.5967, HD95=47.04, NSD=0.1417

