=== METRICS: train/jsrt ===

JPCNN008.png: DSC=0.8548, IoU=0.7465, Sens=0.7911, Spec=0.9704, MCC=0.7967, Kappa=0.7913, HD95=16.40, NSD=0.2849
JPCNN009.png: DSC=0.8796, IoU=0.7850, Sens=0.8173, Spec=0.9808, MCC=0.8342, Kappa=0.8294, HD95=13.99, NSD=0.3346
JPCNN010.png: DSC=0.8938, IoU=0.8080, Sens=0.8188, Spec=0.9922, MCC=0.8485, Kappa=0.8404, HD95=15.24, NSD=0.3652
JPCNN011.png: DSC=0.9220, IoU=0.8553, Sens=0.8831, Spec=0.9877, MCC=0.8959, Kappa=0.8942, HD95=9.24, NSD=0.4838
JPCNN012.png: DSC=0.8960, IoU=0.8116, Sens=0.8442, Spec=0.9778, MCC=0.8475, Kappa=0.8439, HD95=14.00, NSD=0.3064
JPCNN013.png: DSC=0.9115, IoU=0.8375, Sens=0.8771, Spec=0.9811, MCC=0.8794, Kappa=0.8782, HD95=8.60, NSD=0.4321
JPCNN014.png: DSC=0.8580, IoU=0.7514, Sens=0.8033, Spec=0.9711, MCC=0.8079, Kappa=0.8043, HD95=16.54, NSD=0.2867
JPCNN015.png: DSC=0.9177, IoU=0.8478, Sens=0.8843, Spec=0.9851, MCC=0.8917, Kappa=0.8905, HD95=9.22, NSD=0.4725
JPCNN016.png: DSC=0.8805, IoU=0.7866, Sens=0.8295, Spec=0.9694, MCC=0.8233, Kappa=0.8197, HD95=17.09, NSD=0.3115
JPCNN017.png: DSC=0.8847, IoU=0.7933, Sens=0.8024, Spec=0.9953, MCC=0.8520, Kappa=0.8437, HD95=18.48, NSD=0.4699
