=== METRICS: train/covid-19 ===

covid_228.png: DSC=0.8370, IoU=0.7197, Sens=0.7250, Spec=0.9948, MCC=0.7710, Kappa=0.7488, HD95=42.43, NSD=0.1173
covid_229.png: DSC=0.6659, IoU=0.4991, Sens=0.5127, Spec=0.9959, MCC=0.6693, Kappa=0.6321, HD95=89.50, NSD=0.0919
covid_23.png: DSC=0.9003, IoU=0.8187, Sens=0.8339, Spec=0.9953, MCC=0.8818, Kappa=0.8775, HD95=23.71, NSD=0.2982
covid_231.png: DSC=0.8210, IoU=0.6963, Sens=0.7432, Spec=0.9881, MCC=0.7991, Kappa=0.7932, HD95=24.71, NSD=0.1242
covid_232.png: DSC=0.6318, IoU=0.4618, Sens=0.4903, Spec=0.9545, MCC=0.5192, Kappa=0.4728, HD95=95.50, NSD=0.0406
covid_233.png: DSC=0.9065, IoU=0.8289, Sens=0.8433, Spec=0.9942, MCC=0.8824, Kappa=0.8782, HD95=20.25, NSD=0.2599
covid_235.png: DSC=0.8416, IoU=0.7266, Sens=0.7394, Spec=0.9913, MCC=0.7937, Kappa=0.7787, HD95=35.39, NSD=0.2142
covid_236.png: DSC=0.8238, IoU=0.7003, Sens=0.7362, Spec=0.9936, MCC=0.8118, Kappa=0.8047, HD95=30.37, NSD=0.1443
covid_237.png: DSC=0.3949, IoU=0.2460, Sens=0.2679, Spec=0.9370, MCC=0.2842, Kappa=0.2260, HD95=129.31, NSD=0.0797
covid_239.png: DSC=0.8327, IoU=0.7133, Sens=0.7171, Spec=0.9977, MCC=0.7945, Kappa=0.7757, HD95=44.19, NSD=0.2148
covid_24.png: DSC=0.9054, IoU=0.8271, Sens=0.8868, Spec=0.9512, MCC=0.8440, Kappa=0.8435, HD95=29.00, NSD=0.1912
covid_241.png: DSC=0.7422, IoU=0.5901, Sens=0.5994, Spec=0.9947, MCC=0.7131, Kappa=0.6815, HD95=62.37, NSD=0.1020
covid_242.png: DSC=0.8143, IoU=0.6867, Sens=0.7022, Spec=0.9928, MCC=0.7830, Kappa=0.7672, HD95=33.96, NSD=0.1667
covid_243.png: DSC=0.7232, IoU=0.5664, Sens=0.6314, Spec=0.9233, MCC=0.5939, Kappa=0.5792, HD95=84.13, NSD=0.0507
covid_244.png: DSC=0.2912, IoU=0.1704, Sens=0.1728, Spec=0.9935, MCC=0.3283, Kappa=0.2131, HD95=234.10, NSD=0.0456
covid_245.png: DSC=0.0260, IoU=0.0132, Sens=0.0132, Spec=0.9988, MCC=0.0793, Kappa=0.0164, HD95=329.89, NSD=0.0173
covid_246.png: DSC=0.9078, IoU=0.8311, Sens=0.8919, Spec=0.9764, MCC=0.8789, Kappa=0.8786, HD95=28.59, NSD=0.2335
covid_248.png: DSC=0.8538, IoU=0.7449, Sens=0.7525, Spec=0.9979, MCC=0.8390, Kappa=0.8285, HD95=42.92, NSD=0.2750
covid_249.png: DSC=0.6401, IoU=0.4707, Sens=0.4856, Spec=0.9940, MCC=0.6386, Kappa=0.5966, HD95=99.73, NSD=0.1237
covid_25.png: DSC=0.8434, IoU=0.7292, Sens=0.7673, Spec=0.9807, MCC=0.8001, Kappa=0.7932, HD95=32.30, NSD=0.1574
covid_251.png: DSC=0.8005, IoU=0.6673, Sens=0.6814, Spec=0.9878, MCC=0.7372, Kappa=0.7136, HD95=46.57, NSD=0.1531
covid_252.png: DSC=0.3768, IoU=0.2322, Sens=0.2521, Spec=0.9848, MCC=0.3857, Kappa=0.3257, HD95=108.82, NSD=0.1442
covid_257.png: DSC=0.7206, IoU=0.5633, Sens=0.5829, Spec=0.9883, MCC=0.6839, Kappa=0.6540, HD95=77.98, NSD=0.0665
covid_259.png: DSC=0.7395, IoU=0.5867, Sens=0.5869, Spec=0.9999, MCC=0.7274, Kappa=0.6923, HD95=40.50, NSD=0.0581
covid_263.png: DSC=0.8256, IoU=0.7031, Sens=0.7184, Spec=0.9902, MCC=0.7792, Kappa=0.7630, HD95=41.00, NSD=0.1800
covid_264.png: DSC=0.6856, IoU=0.5216, Sens=0.5251, Spec=0.9988, MCC=0.6893, Kappa=0.6476, HD95=46.01, NSD=0.0442
covid_267.png: DSC=0.8008, IoU=0.6678, Sens=0.6858, Spec=0.9955, MCC=0.7882, Kappa=0.7738, HD95=38.30, NSD=0.0846
covid_27.png: DSC=0.6841, IoU=0.5199, Sens=0.5403, Spec=0.9918, MCC=0.6700, Kappa=0.6381, HD95=105.75, NSD=0.1184
covid_28.png: DSC=0.9131, IoU=0.8402, Sens=0.8663, Spec=0.9866, MCC=0.8812, Kappa=0.8787, HD95=23.08, NSD=0.2409
