=== METRICS: train/tb ===

DARCXR_330.png: DSC=0.6806, IoU=0.5158, Sens=0.5161, Spec=0.9996, MCC=0.6259, Kappa=0.5635, HD95=35.84, NSD=0.0820
DARCXR_332.png: DSC=0.7036, IoU=0.5427, Sens=0.5517, Spec=0.9927, MCC=0.6613, Kappa=0.6184, HD95=32.00, NSD=0.3158
DARCXR_334.png: DSC=0.7436, IoU=0.5919, Sens=0.5949, Spec=0.9974, MCC=0.6967, Kappa=0.6565, HD95=28.64, NSD=0.2204
DARCXR_337.png: DSC=0.6631, IoU=0.4960, Sens=0.4971, Spec=0.9988, MCC=0.6208, Kappa=0.5580, HD95=33.65, NSD=0.1450
DARCXR_340.png: DSC=0.3989, IoU=0.2491, Sens=0.2491, Spec=1.0000, MCC=0.4342, Kappa=0.3172, HD95=101.02, NSD=0.0383
DARCXR_341.png: DSC=0.6638, IoU=0.4968, Sens=0.6063, Spec=0.9298, MCC=0.5739, Kappa=0.5697, HD95=29.58, NSD=0.2285
DARCXR_342.png: DSC=0.6908, IoU=0.5276, Sens=0.5280, Spec=0.9995, MCC=0.6314, Kappa=0.5707, HD95=36.06, NSD=0.1454
DARCXR_345.png: DSC=0.6064, IoU=0.4351, Sens=0.4360, Spec=0.9990, MCC=0.5816, Kappa=0.5072, HD95=40.50, NSD=0.0964
DARCXR_346.png: DSC=0.6710, IoU=0.5049, Sens=0.5087, Spec=0.9956, MCC=0.6196, Kappa=0.5604, HD95=60.59, NSD=0.3142
DARCXR_347.png: DSC=0.7368, IoU=0.5833, Sens=0.5898, Spec=0.9948, MCC=0.6924, Kappa=0.6542, HD95=34.64, NSD=0.2783
DARCXR_348.png: DSC=0.6981, IoU=0.5362, Sens=0.5434, Spec=0.9937, MCC=0.6543, Kappa=0.6079, HD95=30.03, NSD=0.2949
DARCXR_349.png: DSC=0.6205, IoU=0.4498, Sens=0.4505, Spec=0.9993, MCC=0.5962, Kappa=0.5258, HD95=42.02, NSD=0.1286
DARCXR_351.png: DSC=0.7205, IoU=0.5631, Sens=0.5642, Spec=0.9985, MCC=0.6520, Kappa=0.5980, HD95=34.27, NSD=0.1549
DARCXR_353.png: DSC=0.7786, IoU=0.6375, Sens=0.7033, Spec=0.9695, MCC=0.7287, Kappa=0.7221, HD95=22.56, NSD=0.3297
DARCXR_355.png: DSC=0.6202, IoU=0.4495, Sens=0.4511, Spec=0.9974, MCC=0.5632, Kappa=0.4850, HD95=48.09, NSD=0.2734
DARCXR_358.png: DSC=0.6205, IoU=0.4498, Sens=0.4504, Spec=0.9992, MCC=0.5856, Kappa=0.5120, HD95=53.28, NSD=0.1836
DARCXR_359.png: DSC=0.5396, IoU=0.3694, Sens=0.3766, Spec=0.9836, MCC=0.4658, Kappa=0.3779, HD95=102.58, NSD=0.1143
DARCXR_360.png: DSC=0.7561, IoU=0.6079, Sens=0.6102, Spec=0.9976, MCC=0.6969, Kappa=0.6560, HD95=30.00, NSD=0.1857
DARCXR_362.png: DSC=0.5489, IoU=0.3783, Sens=0.3785, Spec=0.9996, MCC=0.5171, Kappa=0.4225, HD95=57.19, NSD=0.1729
DARCXR_364.png: DSC=0.7274, IoU=0.5716, Sens=0.5748, Spec=0.9963, MCC=0.6623, Kappa=0.6135, HD95=38.06, NSD=0.1843
DARCXR_365.png: DSC=0.6671, IoU=0.5005, Sens=0.5011, Spec=0.9995, MCC=0.6452, Kappa=0.5888, HD95=30.07, NSD=0.2385
DARCXR_366.png: DSC=0.7813, IoU=0.6411, Sens=0.6436, Spec=0.9976, MCC=0.7243, Kappa=0.6902, HD95=28.86, NSD=0.3160
DARCXR_369.png: DSC=0.7213, IoU=0.5641, Sens=0.6335, Spec=0.9559, MCC=0.6498, Kappa=0.6392, HD95=26.00, NSD=0.2565
DARCXR_370.png: DSC=0.5980, IoU=0.4266, Sens=0.4291, Spec=0.9961, MCC=0.5504, Kappa=0.4707, HD95=59.04, NSD=0.2053
DARCXR_371.png: DSC=0.6319, IoU=0.4619, Sens=0.4628, Spec=0.9986, MCC=0.5752, Kappa=0.4989, HD95=40.50, NSD=0.2240
DARCXR_372.png: DSC=0.5682, IoU=0.3969, Sens=0.3974, Spec=0.9993, MCC=0.5428, Kappa=0.4564, HD95=52.37, NSD=0.1689
DARCXR_375.png: DSC=0.7105, IoU=0.5509, Sens=0.5610, Spec=0.9927, MCC=0.6728, Kappa=0.6334, HD95=34.45, NSD=0.2505
DARCXR_378.png: DSC=0.6495, IoU=0.4810, Sens=0.4838, Spec=0.9944, MCC=0.5602, Kappa=0.4837, HD95=41.35, NSD=0.0586
DARCXR_379.png: DSC=0.8320, IoU=0.7124, Sens=0.7287, Spec=0.9913, MCC=0.7937, Kappa=0.7799, HD95=30.00, NSD=0.4863
DARCXR_380.png: DSC=0.7215, IoU=0.5643, Sens=0.5727, Spec=0.9922, MCC=0.6681, Kappa=0.6262, HD95=34.00, NSD=0.3589
DARCXR_381.png: DSC=0.5436, IoU=0.3732, Sens=0.3733, Spec=0.9998, MCC=0.5267, Kappa=0.4346, HD95=43.11, NSD=0.0782
DARCXR_382.png: DSC=0.2939, IoU=0.1722, Sens=0.1722, Spec=1.0000, MCC=0.3555, Kappa=0.2244, HD95=120.52, NSD=0.0000
