=== METRICS: train/jsrt ===

JPCLN144.png: DSC=0.8668, IoU=0.7649, Sens=0.7997, Spec=0.9790, MCC=0.8184, Kappa=0.8127, HD95=11.18, NSD=0.2541
JPCLN145.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN146.png: DSC=0.8368, IoU=0.7194, Sens=0.7430, Spec=0.9749, MCC=0.7531, Kappa=0.7373, HD95=19.42, NSD=0.2278
JPCLN147.png: DSC=0.8673, IoU=0.7657, Sens=0.8003, Spec=0.9771, MCC=0.8142, Kappa=0.8082, HD95=14.56, NSD=0.2597
JPCLN148.png: DSC=0.8444, IoU=0.7307, Sens=0.7531, Spec=0.9843, MCC=0.7905, Kappa=0.7787, HD95=15.00, NSD=0.2507
JPCLN149.png: DSC=0.8843, IoU=0.7926, Sens=0.8187, Spec=0.9883, MCC=0.8523, Kappa=0.8475, HD95=11.44, NSD=0.3682
JPCLN150.png: DSC=0.8736, IoU=0.7756, Sens=0.7972, Spec=0.9877, MCC=0.8325, Kappa=0.8252, HD95=14.00, NSD=0.2339
JPCLN151.png: DSC=0.8538, IoU=0.7449, Sens=0.7787, Spec=0.9833, MCC=0.8134, Kappa=0.8067, HD95=14.00, NSD=0.2483
JPCLN152.png: DSC=0.6103, IoU=0.4392, Sens=0.4411, Spec=0.9980, MCC=0.5888, Kappa=0.5184, HD95=116.71, NSD=0.2399
JPCLN153.png: DSC=0.5281, IoU=0.3588, Sens=0.3782, Spec=0.9686, MCC=0.4574, Kappa=0.3936, HD95=131.68, NSD=0.1248
JPCLN154.png: DSC=0.7771, IoU=0.6354, Sens=0.6532, Spec=0.9903, MCC=0.7399, Kappa=0.7183, HD95=48.69, NSD=0.2565
JPCNN001.png: DSC=0.8513, IoU=0.7411, Sens=0.7841, Spec=0.9623, MCC=0.7745, Kappa=0.7675, HD95=17.23, NSD=0.3330
JPCNN002.png: DSC=0.8624, IoU=0.7581, Sens=0.8010, Spec=0.9686, MCC=0.8000, Kappa=0.7948, HD95=14.32, NSD=0.2191
JPCNN003.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCNN004.png: DSC=0.8601, IoU=0.7545, Sens=0.7826, Spec=0.9851, MCC=0.8188, Kappa=0.8115, HD95=13.99, NSD=0.2837
JPCNN005.png: DSC=0.8634, IoU=0.7596, Sens=0.8034, Spec=0.9625, MCC=0.7905, Kappa=0.7850, HD95=18.03, NSD=0.2507
JPCNN006.png: DSC=0.8920, IoU=0.8051, Sens=0.8506, Spec=0.9728, MCC=0.8458, Kappa=0.8437, HD95=11.66, NSD=0.3821
JPCNN007.png: DSC=0.5902, IoU=0.4186, Sens=0.4403, Spec=0.9794, MCC=0.5456, Kappa=0.4953, HD95=138.01, NSD=0.1640
JPCNN008.png: DSC=0.8681, IoU=0.7670, Sens=0.8153, Spec=0.9689, MCC=0.8126, Kappa=0.8090, HD95=12.00, NSD=0.2838
JPCNN009.png: DSC=0.6613, IoU=0.4940, Sens=0.4966, Spec=0.9975, MCC=0.6281, Kappa=0.5696, HD95=115.00, NSD=0.2503
JPCNN010.png: DSC=0.8713, IoU=0.7719, Sens=0.8001, Spec=0.9787, MCC=0.8136, Kappa=0.8063, HD95=13.00, NSD=0.2576
JPCNN011.png: DSC=0.8657, IoU=0.7632, Sens=0.7938, Spec=0.9848, MCC=0.8270, Kappa=0.8210, HD95=15.70, NSD=0.3103
JPCNN012.png: DSC=0.5390, IoU=0.3689, Sens=0.3834, Spec=0.9783, MCC=0.4845, Kappa=0.4155, HD95=143.70, NSD=0.1311
