=== METRICS: train/tb ===

DARCXR_416.png: DSC=0.3707, IoU=0.2275, Sens=0.2282, Spec=0.9986, MCC=0.4040, Kappa=0.2843, HD95=143.96, NSD=0.0246
DARCXR_417.png: DSC=0.7332, IoU=0.5788, Sens=0.5830, Spec=0.9959, MCC=0.6803, Kappa=0.6372, HD95=68.88, NSD=0.1084
DARCXR_418.png: DSC=0.4436, IoU=0.2850, Sens=0.2877, Spec=0.9952, MCC=0.4451, Kappa=0.3413, HD95=171.03, NSD=0.0270
DARCXR_419.png: DSC=0.3364, IoU=0.2022, Sens=0.2026, Spec=0.9986, MCC=0.3640, Kappa=0.2371, HD95=144.58, NSD=0.0500
DARCXR_420.png: DSC=0.1571, IoU=0.0852, Sens=0.0853, Spec=0.9996, MCC=0.2500, Kappa=0.1196, HD95=259.11, NSD=0.0786
DARCXR_421.png: DSC=0.0494, IoU=0.0253, Sens=0.0259, Spec=0.9831, MCC=0.0311, Kappa=0.0100, HD95=348.08, NSD=0.0329
DARCXR_422.png: DSC=0.5269, IoU=0.3577, Sens=0.3615, Spec=0.9947, MCC=0.5090, Kappa=0.4219, HD95=101.92, NSD=0.0569
DARCXR_425.png: DSC=0.3574, IoU=0.2176, Sens=0.2176, Spec=0.9999, MCC=0.3865, Kappa=0.2602, HD95=234.10, NSD=0.0623
DARCXR_426.png: DSC=0.4618, IoU=0.3002, Sens=0.3002, Spec=1.0000, MCC=0.4728, Kappa=0.3654, HD95=133.13, NSD=0.0057
DARCXR_428.png: DSC=0.4136, IoU=0.2607, Sens=0.2607, Spec=1.0000, MCC=0.4465, Kappa=0.3325, HD95=174.71, NSD=0.0232
MCUCXR_117_1.png: DSC=0.8156, IoU=0.6886, Sens=0.6919, Spec=0.9990, MCC=0.8022, Kappa=0.7845, HD95=31.38, NSD=0.1548
MCUCXR_126_1.png: DSC=0.7131, IoU=0.5541, Sens=0.5835, Spec=0.9822, MCC=0.6693, Kappa=0.6432, HD95=125.19, NSD=0.0860
MCUCXR_140_1.png: DSC=0.5841, IoU=0.4126, Sens=0.4441, Spec=0.9729, MCC=0.5343, Kappa=0.4933, HD95=106.09, NSD=0.0898
MCUCXR_141_1.png: DSC=0.6569, IoU=0.4891, Sens=0.5178, Spec=0.9673, MCC=0.5746, Kappa=0.5351, HD95=107.87, NSD=0.1013
MCUCXR_142_1.png: DSC=0.8958, IoU=0.8113, Sens=0.8166, Spec=0.9978, MCC=0.8728, Kappa=0.8660, HD95=28.68, NSD=0.1733
MCUCXR_144_1.png: DSC=0.8749, IoU=0.7777, Sens=0.8443, Spec=0.9675, MCC=0.8308, Kappa=0.8298, HD95=29.95, NSD=0.1143
