=== METRICS: train/tb ===

DARCXR_378.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_379.png: DSC=0.6163, IoU=0.4454, Sens=0.4505, Spec=0.9956, MCC=0.5979, Kappa=0.5352, HD95=43.41, NSD=0.2199
DARCXR_380.png: DSC=0.3845, IoU=0.2380, Sens=0.2380, Spec=1.0000, MCC=0.4121, Kappa=0.2905, HD95=89.49, NSD=0.0415
DARCXR_381.png: DSC=0.0186, IoU=0.0094, Sens=0.0094, Spec=1.0000, MCC=0.0780, Kappa=0.0121, HD95=171.60, NSD=0.0000
DARCXR_382.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_383.png: DSC=0.4414, IoU=0.2832, Sens=0.2832, Spec=1.0000, MCC=0.4437, Kappa=0.3289, HD95=58.53, NSD=0.0227
DARCXR_385.png: DSC=0.5209, IoU=0.3522, Sens=0.3551, Spec=0.9938, MCC=0.4761, Kappa=0.3791, HD95=42.09, NSD=0.1398
DARCXR_386.png: DSC=0.3395, IoU=0.2044, Sens=0.2044, Spec=1.0000, MCC=0.3521, Kappa=0.2206, HD95=119.44, NSD=0.0277
DARCXR_387.png: DSC=0.3742, IoU=0.2302, Sens=0.2475, Spec=0.9636, MCC=0.3225, Kappa=0.2558, HD95=151.04, NSD=0.0539
DARCXR_388.png: DSC=0.4646, IoU=0.3026, Sens=0.3063, Spec=0.9947, MCC=0.4693, Kappa=0.3741, HD95=75.49, NSD=0.1455
DARCXR_389.png: DSC=0.1632, IoU=0.0888, Sens=0.0933, Spec=0.9578, MCC=0.1028, Kappa=0.0549, HD95=160.95, NSD=0.0341
DARCXR_395.png: DSC=0.2288, IoU=0.1292, Sens=0.1292, Spec=1.0000, MCC=0.2950, Kappa=0.1601, HD95=122.73, NSD=0.0058
DARCXR_399.png: DSC=0.1818, IoU=0.1000, Sens=0.1000, Spec=1.0000, MCC=0.2850, Kappa=0.1502, HD95=118.23, NSD=0.0000
DARCXR_400.png: DSC=0.2229, IoU=0.1254, Sens=0.1254, Spec=1.0000, MCC=0.2976, Kappa=0.1627, HD95=138.26, NSD=0.0308
DARCXR_402.png: DSC=0.3476, IoU=0.2103, Sens=0.2133, Spec=0.9923, MCC=0.3611, Kappa=0.2487, HD95=121.34, NSD=0.0522
DARCXR_406.png: DSC=0.1124, IoU=0.0595, Sens=0.0595, Spec=1.0000, MCC=0.2045, Kappa=0.0803, HD95=110.02, NSD=0.0271
DARCXR_407.png: DSC=0.1983, IoU=0.1101, Sens=0.1102, Spec=0.9997, MCC=0.2827, Kappa=0.1491, HD95=112.61, NSD=0.0879
DARCXR_409.png: DSC=0.3944, IoU=0.2457, Sens=0.2463, Spec=0.9984, MCC=0.4091, Kappa=0.2904, HD95=62.40, NSD=0.0506
DARCXR_411.png: DSC=0.2436, IoU=0.1387, Sens=0.1387, Spec=1.0000, MCC=0.3010, Kappa=0.1662, HD95=157.95, NSD=0.0053
DARCXR_412.png: DSC=0.6470, IoU=0.4782, Sens=0.4872, Spec=0.9893, MCC=0.5919, Kappa=0.5334, HD95=32.76, NSD=0.1364
DARCXR_413.png: DSC=0.7115, IoU=0.5522, Sens=0.5533, Spec=0.9982, MCC=0.6244, Kappa=0.5627, HD95=44.23, NSD=0.1435
DARCXR_415.png: DSC=0.2860, IoU=0.1668, Sens=0.1784, Spec=0.9665, MCC=0.2494, Kappa=0.1800, HD95=63.62, NSD=0.0938
DARCXR_416.png: DSC=0.1906, IoU=0.1053, Sens=0.1053, Spec=1.0000, MCC=0.2720, Kappa=0.1378, HD95=104.92, NSD=0.0000
DARCXR_417.png: DSC=0.4197, IoU=0.2656, Sens=0.2694, Spec=0.9921, MCC=0.4154, Kappa=0.3111, HD95=118.61, NSD=0.0873
DARCXR_418.png: DSC=0.5109, IoU=0.3431, Sens=0.3433, Spec=0.9997, MCC=0.5060, Kappa=0.4083, HD95=60.83, NSD=0.1038
DARCXR_419.png: DSC=0.0733, IoU=0.0380, Sens=0.0380, Spec=1.0000, MCC=0.1544, Kappa=0.0466, HD95=174.66, NSD=0.0035
DARCXR_420.png: DSC=0.1151, IoU=0.0611, Sens=0.0611, Spec=0.9998, MCC=0.2113, Kappa=0.0867, HD95=117.18, NSD=0.0847
DARCXR_421.png: DSC=0.0241, IoU=0.0122, Sens=0.0124, Spec=0.9893, MCC=0.0079, Kappa=0.0019, HD95=105.48, NSD=0.0492
DARCXR_422.png: DSC=0.5436, IoU=0.3732, Sens=0.3767, Spec=0.9953, MCC=0.5232, Kappa=0.4388, HD95=67.98, NSD=0.0547
DARCXR_425.png: DSC=0.3978, IoU=0.2483, Sens=0.2483, Spec=0.9999, MCC=0.4155, Kappa=0.2946, HD95=63.67, NSD=0.0534
DARCXR_426.png: DSC=0.4114, IoU=0.2589, Sens=0.2621, Spec=0.9940, MCC=0.4199, Kappa=0.3143, HD95=67.69, NSD=0.0122
DARCXR_428.png: DSC=0.3507, IoU=0.2126, Sens=0.2130, Spec=0.9992, MCC=0.3974, Kappa=0.2753, HD95=83.59, NSD=0.0559
MCUCXR_117_1.png: DSC=0.7598, IoU=0.6126, Sens=0.6148, Spec=0.9992, MCC=0.7509, Kappa=0.7226, HD95=21.47, NSD=0.1881
MCUCXR_126_1.png: DSC=0.7043, IoU=0.5435, Sens=0.5692, Spec=0.9841, MCC=0.6633, Kappa=0.6341, HD95=55.00, NSD=0.1332
MCUCXR_140_1.png: DSC=0.8745, IoU=0.7769, Sens=0.8357, Spec=0.9732, MCC=0.8343, Kappa=0.8327, HD95=12.00, NSD=0.2701
MCUCXR_141_1.png: DSC=0.6521, IoU=0.4838, Sens=0.5101, Spec=0.9697, MCC=0.5729, Kappa=0.5309, HD95=76.44, NSD=0.2621
MCUCXR_142_1.png: DSC=0.5470, IoU=0.3765, Sens=0.3786, Spec=0.9982, MCC=0.5547, Kappa=0.4753, HD95=125.32, NSD=0.2179
MCUCXR_144_1.png: DSC=0.8823, IoU=0.7894, Sens=0.8486, Spec=0.9715, MCC=0.8412, Kappa=0.8400, HD95=12.19, NSD=0.3344
