=== METRICS: train/tb ===

DARCXR_337.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_340.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.6553, MCC=-0.3691, Kappa=-0.3650, HD95=214.00, NSD=0.0000
DARCXR_341.png: DSC=0.0655, IoU=0.0338, Sens=0.0338, Spec=1.0000, MCC=0.1609, Kappa=0.0505, HD95=354.64, NSD=0.0000
DARCXR_342.png: DSC=0.0253, IoU=0.0128, Sens=0.0128, Spec=1.0000, MCC=0.0875, Kappa=0.0152, HD95=497.58, NSD=0.0000
DARCXR_345.png: DSC=0.1133, IoU=0.0601, Sens=0.0601, Spec=1.0000, MCC=0.2026, Kappa=0.0789, HD95=270.02, NSD=0.0000
DARCXR_346.png: DSC=0.1777, IoU=0.0975, Sens=0.0975, Spec=1.0000, MCC=0.2526, Kappa=0.1200, HD95=190.06, NSD=0.0000
DARCXR_347.png: DSC=0.1582, IoU=0.0859, Sens=0.0859, Spec=1.0000, MCC=0.2452, Kappa=0.1135, HD95=247.01, NSD=0.0452
DARCXR_348.png: DSC=0.0772, IoU=0.0402, Sens=0.0402, Spec=1.0000, MCC=0.1662, Kappa=0.0537, HD95=341.71, NSD=0.0000
DARCXR_349.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.8328, MCC=-0.2461, Kappa=-0.2016, HD95=337.74, NSD=0.0000
DARCXR_351.png: DSC=0.0940, IoU=0.0493, Sens=0.0493, Spec=1.0000, MCC=0.1708, Kappa=0.0567, HD95=328.42, NSD=0.0000
DARCXR_353.png: DSC=0.2723, IoU=0.1576, Sens=0.1577, Spec=0.9998, MCC=0.3543, Kappa=0.2239, HD95=219.46, NSD=0.0359
DARCXR_355.png: DSC=0.0419, IoU=0.0214, Sens=0.0214, Spec=1.0000, MCC=0.1119, Kappa=0.0247, HD95=460.88, NSD=0.0000
DARCXR_358.png: DSC=0.0984, IoU=0.0517, Sens=0.0517, Spec=1.0000, MCC=0.1840, Kappa=0.0655, HD95=249.50, NSD=0.0000
DARCXR_359.png: DSC=0.0757, IoU=0.0393, Sens=0.0394, Spec=0.9988, MCC=0.1404, Kappa=0.0412, HD95=419.08, NSD=0.0180
DARCXR_360.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_362.png: DSC=0.0370, IoU=0.0188, Sens=0.0188, Spec=1.0000, MCC=0.1069, Kappa=0.0226, HD95=392.84, NSD=0.0000
DARCXR_364.png: DSC=0.0499, IoU=0.0256, Sens=0.0256, Spec=1.0000, MCC=0.1243, Kappa=0.0305, HD95=391.28, NSD=0.0000
DARCXR_365.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_366.png: DSC=0.1428, IoU=0.0769, Sens=0.0769, Spec=1.0000, MCC=0.2227, Kappa=0.0945, HD95=321.98, NSD=0.0000
DARCXR_369.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.7106, MCC=-0.3117, Kappa=-0.3086, HD95=194.15, NSD=0.0000
DARCXR_370.png: DSC=0.0508, IoU=0.0261, Sens=0.0261, Spec=1.0000, MCC=0.1261, Kappa=0.0313, HD95=405.44, NSD=0.0000
DARCXR_371.png: DSC=0.0380, IoU=0.0194, Sens=0.0194, Spec=1.0000, MCC=0.1066, Kappa=0.0225, HD95=388.54, NSD=0.0000
DARCXR_372.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_375.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.7534, MCC=-0.2931, Kappa=-0.2789, HD95=222.01, NSD=0.0000
DARCXR_378.png: DSC=0.7164, IoU=0.5582, Sens=0.7526, Spec=0.6675, MCC=0.4212, Kappa=0.4192, HD95=102.39, NSD=0.1839
DARCXR_379.png: DSC=0.2543, IoU=0.1457, Sens=0.1461, Spec=0.9989, MCC=0.3264, Kappa=0.1969, HD95=251.38, NSD=0.1183
DARCXR_380.png: DSC=0.0489, IoU=0.0250, Sens=0.0250, Spec=1.0000, MCC=0.1287, Kappa=0.0326, HD95=441.48, NSD=0.0000
DARCXR_381.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.8532, MCC=-0.2396, Kappa=-0.1759, HD95=281.07, NSD=0.0000
DARCXR_382.png: DSC=0.3992, IoU=0.2494, Sens=0.3086, Spec=0.8961, MCC=0.2530, Kappa=0.2347, HD95=110.12, NSD=0.0463
DARCXR_383.png: DSC=0.0705, IoU=0.0365, Sens=0.0365, Spec=1.0000, MCC=0.1517, Kappa=0.0450, HD95=403.96, NSD=0.0000
DARCXR_385.png: DSC=0.1010, IoU=0.0532, Sens=0.0532, Spec=1.0000, MCC=0.1763, Kappa=0.0603, HD95=244.75, NSD=0.0000
DARCXR_386.png: DSC=0.1660, IoU=0.0905, Sens=0.0905, Spec=1.0000, MCC=0.2279, Kappa=0.0988, HD95=329.03, NSD=0.0000
DARCXR_387.png: DSC=0.1534, IoU=0.0831, Sens=0.0836, Spec=0.9967, MCC=0.2228, Kappa=0.1051, HD95=401.66, NSD=0.0137
DARCXR_388.png: DSC=0.1720, IoU=0.0941, Sens=0.0941, Spec=1.0000, MCC=0.2606, Kappa=0.1271, HD95=407.55, NSD=0.0446
DARCXR_389.png: DSC=0.2504, IoU=0.1431, Sens=0.1817, Spec=0.7752, MCC=-0.0531, Kappa=-0.0451, HD95=175.70, NSD=0.0556
DARCXR_395.png: DSC=0.0182, IoU=0.0092, Sens=0.0092, Spec=1.0000, MCC=0.0770, Kappa=0.0118, HD95=459.39, NSD=0.0000
DARCXR_399.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.6061, MCC=-0.3422, Kappa=-0.3285, HD95=166.48, NSD=0.0000
DARCXR_400.png: DSC=0.0586, IoU=0.0302, Sens=0.0302, Spec=1.0000, MCC=0.1437, Kappa=0.0405, HD95=370.75, NSD=0.0000
DARCXR_402.png: DSC=0.0366, IoU=0.0187, Sens=0.0187, Spec=1.0000, MCC=0.1100, Kappa=0.0239, HD95=365.58, NSD=0.0000
DARCXR_406.png: DSC=0.0308, IoU=0.0156, Sens=0.0156, Spec=1.0000, MCC=0.1041, Kappa=0.0214, HD95=427.59, NSD=0.0000
DARCXR_407.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_409.png: DSC=0.0624, IoU=0.0322, Sens=0.0322, Spec=1.0000, MCC=0.1436, Kappa=0.0404, HD95=323.66, NSD=0.0000
DARCXR_411.png: DSC=0.0250, IoU=0.0127, Sens=0.0127, Spec=1.0000, MCC=0.0887, Kappa=0.0156, HD95=485.78, NSD=0.0000
DARCXR_412.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_413.png: DSC=0.2203, IoU=0.1238, Sens=0.1239, Spec=0.9988, MCC=0.2586, Kappa=0.1276, HD95=260.04, NSD=0.0560
DARCXR_415.png: DSC=0.2851, IoU=0.1662, Sens=0.1667, Spec=0.9987, MCC=0.3399, Kappa=0.2109, HD95=261.23, NSD=0.0802
DARCXR_416.png: DSC=0.0893, IoU=0.0467, Sens=0.0468, Spec=0.9995, MCC=0.1757, Kappa=0.0618, HD95=261.15, NSD=0.0211
DARCXR_417.png: DSC=0.2808, IoU=0.1634, Sens=0.1634, Spec=0.9997, MCC=0.3331, Kappa=0.2005, HD95=235.97, NSD=0.0632
DARCXR_418.png: DSC=0.1874, IoU=0.1034, Sens=0.1034, Spec=1.0000, MCC=0.2661, Kappa=0.1322, HD95=323.81, NSD=0.0202
DARCXR_419.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_420.png: DSC=0.3590, IoU=0.2187, Sens=0.2969, Spec=0.8698, MCC=0.1943, Kappa=0.1873, HD95=264.00, NSD=0.0517
DARCXR_421.png: DSC=0.3291, IoU=0.1970, Sens=0.2458, Spec=0.8087, MCC=0.0658, Kappa=0.0578, HD95=277.72, NSD=0.0098
DARCXR_422.png: DSC=0.2567, IoU=0.1472, Sens=0.1487, Spec=0.9949, MCC=0.3020, Kappa=0.1815, HD95=201.56, NSD=0.0062
DARCXR_425.png: DSC=0.0739, IoU=0.0384, Sens=0.0384, Spec=1.0000, MCC=0.1569, Kappa=0.0481, HD95=361.20, NSD=0.0086
DARCXR_426.png: DSC=0.1521, IoU=0.0823, Sens=0.0823, Spec=1.0000, MCC=0.2383, Kappa=0.1075, HD95=272.70, NSD=0.0000
DARCXR_428.png: DSC=0.1190, IoU=0.0633, Sens=0.0633, Spec=1.0000, MCC=0.2134, Kappa=0.0871, HD95=268.83, NSD=0.0000
MCUCXR_117_1.png: DSC=0.4630, IoU=0.3012, Sens=0.3012, Spec=1.0000, MCC=0.5120, Kappa=0.4154, HD95=86.86, NSD=0.0375
MCUCXR_126_1.png: DSC=0.2530, IoU=0.1448, Sens=0.1469, Spec=0.9951, MCC=0.3122, Kappa=0.1968, HD95=181.73, NSD=0.0761
MCUCXR_140_1.png: DSC=0.1006, IoU=0.0530, Sens=0.0530, Spec=1.0000, MCC=0.1991, Kappa=0.0763, HD95=342.68, NSD=0.0000
MCUCXR_141_1.png: DSC=0.2670, IoU=0.1541, Sens=0.1541, Spec=0.9999, MCC=0.3233, Kappa=0.1894, HD95=333.00, NSD=0.1162
MCUCXR_142_1.png: DSC=0.4620, IoU=0.3004, Sens=0.3004, Spec=1.0000, MCC=0.4945, Kappa=0.3930, HD95=85.55, NSD=0.0177
MCUCXR_144_1.png: DSC=0.4269, IoU=0.2713, Sens=0.2714, Spec=1.0000, MCC=0.4609, Kappa=0.3505, HD95=127.21, NSD=0.0376
