=== METRICS FOR jsrt ===

JPCNN046.png: DSC=0.9002, IoU=0.8185, HD95=22.47
JPCNN047.png: DSC=0.4701, IoU=0.3073, HD95=322.05
JPCNN048.png: DSC=0.8143, IoU=0.6867, HD95=112.16
JPCNN049.png: DSC=0.7863, IoU=0.6478, HD95=50.25
JPCNN050.png: DSC=0.8903, IoU=0.8024, HD95=29.15
JPCNN051.png: DSC=0.6232, IoU=0.4527, HD95=110.68
JPCNN052.png: DSC=0.8220, IoU=0.6978, HD95=46.67
JPCNN053.png: DSC=0.7940, IoU=0.6584, HD95=44.60
JPCNN054.png: DSC=0.7017, IoU=0.5404, HD95=86.60
JPCNN055.png: DSC=0.4386, IoU=0.2809, HD95=205.38
JPCNN056.png: DSC=0.5361, IoU=0.3662, HD95=148.00
JPCNN057.png: DSC=0.2934, IoU=0.1719, HD95=320.52
JPCNN058.png: DSC=0.7442, IoU=0.5926, HD95=80.42
JPCNN059.png: DSC=0.5430, IoU=0.3726, HD95=122.57
JPCNN060.png: DSC=0.8683, IoU=0.7672, HD95=32.00
JPCNN061.png: DSC=0.8387, IoU=0.7222, HD95=39.99
JPCNN062.png: DSC=0.7750, IoU=0.6327, HD95=42.63
JPCNN063.png: DSC=0.8730, IoU=0.7746, HD95=25.00
JPCNN064.png: DSC=0.8193, IoU=0.6939, HD95=128.18
JPCNN065.png: DSC=0.8452, IoU=0.7319, HD95=40.50
JPCNN066.png: DSC=0.7764, IoU=0.6346, HD95=116.16
JPCNN067.png: DSC=0.8932, IoU=0.8071, HD95=23.38
JPCNN068.png: DSC=0.5434, IoU=0.3730, HD95=214.52
JPCNN069.png: DSC=0.7046, IoU=0.5440, HD95=236.30
JPCNN070.png: DSC=0.3907, IoU=0.2428, HD95=269.90
JPCNN071.png: DSC=0.8181, IoU=0.6922, HD95=50.30
JPCNN072.png: DSC=0.7825, IoU=0.6427, HD95=55.02
JPCNN073.png: DSC=0.8410, IoU=0.7256, HD95=44.01
JPCNN074.png: DSC=0.6123, IoU=0.4413, HD95=144.93
JPCNN075.png: DSC=0.8245, IoU=0.7014, HD95=37.00
JPCNN076.png: DSC=0.6147, IoU=0.4437, HD95=226.60
JPCNN077.png: DSC=0.7278, IoU=0.5721, HD95=76.01
JPCNN078.png: DSC=0.3169, IoU=0.1883, HD95=280.70
JPCNN079.png: DSC=0.7019, IoU=0.5407, HD95=80.16
JPCNN080.png: DSC=0.7849, IoU=0.6460, HD95=54.42
JPCNN081.png: DSC=0.7327, IoU=0.5781, HD95=72.73
JPCNN082.png: DSC=0.7390, IoU=0.5861, HD95=51.66
JPCNN083.png: DSC=0.8972, IoU=0.8136, HD95=25.00
JPCNN084.png: DSC=0.6087, IoU=0.4375, HD95=243.22
JPCNN085.png: DSC=0.7099, IoU=0.5503, HD95=134.84
JPCNN086.png: DSC=0.6706, IoU=0.5045, HD95=82.61
JPCNN087.png: DSC=0.6036, IoU=0.4322, HD95=214.89
JPCNN088.png: DSC=0.8198, IoU=0.6946, HD95=62.00
JPCNN089.png: DSC=0.8727, IoU=0.7741, HD95=46.84
JPCNN090.png: DSC=0.3533, IoU=0.2145, HD95=180.39
JPCNN091.png: DSC=0.9000, IoU=0.8182, HD95=24.00
JPCNN092.png: DSC=0.6842, IoU=0.5200, HD95=51.66
JPCNN093.png: DSC=0.6971, IoU=0.5351, HD95=64.20

--- AVERAGES ---
Mean DSC: 0.6708
Mean IoU: 0.5324
Mean HD95: 122.00
