=== METRICS: train/covid-19 ===

covid_45.png: DSC=0.6334, IoU=0.4635, Sens=0.4697, Spec=0.9947, MCC=0.6085, Kappa=0.5500, HD95=183.62, NSD=0.1284
covid_47.png: DSC=0.8508, IoU=0.7403, Sens=0.8964, Spec=0.9555, MCC=0.8189, Kappa=0.8173, HD95=29.41, NSD=0.1892
covid_49.png: DSC=0.3870, IoU=0.2399, Sens=0.2399, Spec=1.0000, MCC=0.4518, Kappa=0.3391, HD95=178.07, NSD=0.0000
covid_5.png: DSC=0.2517, IoU=0.1440, Sens=0.1441, Spec=0.9995, MCC=0.3226, Kappa=0.1904, HD95=247.16, NSD=0.0734
covid_50.png: DSC=0.2495, IoU=0.1425, Sens=0.1425, Spec=1.0000, MCC=0.3515, Kappa=0.2200, HD95=239.75, NSD=0.0000
covid_52.png: DSC=0.8760, IoU=0.7794, Sens=0.8390, Spec=0.9711, MCC=0.8334, Kappa=0.8319, HD95=32.25, NSD=0.1845
covid_54.png: DSC=0.0958, IoU=0.0503, Sens=0.0503, Spec=1.0000, MCC=0.2044, Kappa=0.0802, HD95=356.47, NSD=0.0000
covid_55.png: DSC=0.7253, IoU=0.5690, Sens=0.5738, Spec=0.9981, MCC=0.7154, Kappa=0.6809, HD95=71.84, NSD=0.1312
covid_56.png: DSC=0.4406, IoU=0.2826, Sens=0.2832, Spec=0.9994, MCC=0.4808, Kappa=0.3778, HD95=160.87, NSD=0.0183
covid_6.png: DSC=0.1305, IoU=0.0698, Sens=0.0698, Spec=1.0000, MCC=0.2199, Kappa=0.0923, HD95=234.06, NSD=0.0000
covid_60.png: DSC=0.3579, IoU=0.2180, Sens=0.2180, Spec=1.0000, MCC=0.4287, Kappa=0.3104, HD95=261.55, NSD=0.0321
covid_61.png: DSC=0.7106, IoU=0.5511, Sens=0.5519, Spec=0.9997, MCC=0.7089, Kappa=0.6696, HD95=48.27, NSD=0.1700
covid_62.png: DSC=0.2485, IoU=0.1419, Sens=0.1419, Spec=1.0000, MCC=0.3274, Kappa=0.1936, HD95=260.76, NSD=0.0360
covid_64.png: DSC=0.3048, IoU=0.1798, Sens=0.1798, Spec=1.0000, MCC=0.3671, Kappa=0.2375, HD95=219.01, NSD=0.0000
covid_65.png: DSC=0.1406, IoU=0.0756, Sens=0.0756, Spec=1.0000, MCC=0.2470, Kappa=0.1150, HD95=363.09, NSD=0.0000
covid_66.png: DSC=0.4282, IoU=0.2725, Sens=0.2891, Spec=0.9892, MCC=0.4453, Kappa=0.3798, HD95=241.92, NSD=0.0535
covid_67.png: DSC=0.2710, IoU=0.1567, Sens=0.1567, Spec=1.0000, MCC=0.3510, Kappa=0.2194, HD95=362.20, NSD=0.0158
covid_69.png: DSC=0.3018, IoU=0.1777, Sens=0.1779, Spec=0.9997, MCC=0.3743, Kappa=0.2473, HD95=354.23, NSD=0.0403
covid_7.png: DSC=0.1159, IoU=0.0615, Sens=0.0615, Spec=1.0000, MCC=0.2177, Kappa=0.0905, HD95=215.92, NSD=0.0000
covid_71.png: DSC=0.6493, IoU=0.4807, Sens=0.4845, Spec=0.9973, MCC=0.6335, Kappa=0.5780, HD95=94.11, NSD=0.0670
covid_72.png: DSC=0.4007, IoU=0.2505, Sens=0.2545, Spec=0.9967, MCC=0.4500, Kappa=0.3533, HD95=131.90, NSD=0.1442
covid_76.png: DSC=0.2971, IoU=0.1745, Sens=0.1745, Spec=1.0000, MCC=0.3792, Kappa=0.2515, HD95=246.25, NSD=0.0158
covid_77.png: DSC=0.3619, IoU=0.2209, Sens=0.2209, Spec=1.0000, MCC=0.4353, Kappa=0.3186, HD95=158.15, NSD=0.0000
covid_78.png: DSC=0.3547, IoU=0.2156, Sens=0.2156, Spec=1.0000, MCC=0.4204, Kappa=0.3003, HD95=245.79, NSD=0.0024
covid_79.png: DSC=0.1983, IoU=0.1100, Sens=0.1104, Spec=0.9982, MCC=0.2662, Kappa=0.1379, HD95=361.65, NSD=0.0173
